trainingAccuracy,testAccuracy
91.14000201225281,81.34999871253967
91.20500087738037,81.36000037193298
93.04999709129333,80.48999905586243
92.90750026702881,80.37999868392944
90.8174991607666,80.40000200271606
92.01499819755554,81.66999816894531
92.50749945640564,81.31999969482422
93.08249950408936,80.48999905586243
93.0899977684021,80.22000193595886
94.51500177383423,79.8200011253357
92.32500195503235,81.09999895095825
93.86249780654907,80.33999800682068
92.22999811172485,80.25000095367432
94.9999988079071,79.50999736785889
93.2325005531311,80.3600013256073
92.50249862670898,80.94000220298767
93.98999810218811,79.94999885559082
93.56499910354614,80.58000206947327
94.15500164031982,80.11999726295471
94.21250224113464,79.94999885559082
89.82250094413757,81.80000185966492
92.94999837875366,80.46000003814697
94.13999915122986,79.5799970626831
95.28999924659729,79.68999743461609
96.17499709129333,78.47999930381775
92.59250164031982,80.5400013923645
90.91500043869019,81.66000247001648
92.59250164031982,80.55999875068665
92.3200011253357,81.33000135421753
94.24999952316284,79.55999970436096
93.62000226974487,80.26999831199646
92.8475022315979,80.48999905586243
92.70250201225281,80.39000034332275
94.097501039505,80.39000034332275
94.52000260353088,79.3500006198883
92.11999773979187,80.62999844551086
92.7049994468689,80.64000010490417
94.1124975681305,80.26000261306763
94.2550003528595,79.85000014305115
94.6025013923645,79.339998960495
93.31750273704529,80.3600013256073
94.54249739646912,79.64000105857849
95.09249925613403,79.00999784469604
94.74499821662903,79.14000153541565
94.95750069618225,79.18000221252441
93.69249939918518,80.09999990463257
95.47749757766724,79.12999987602234
94.52499747276306,80.2299976348877
95.52749991416931,78.96000146865845
95.25499939918518,78.57000231742859
92.69750118255615,81.09999895095825
92.80999898910522,80.15000224113464
94.21749711036682,80.09999990463257
93.3525025844574,80.01999855041504
94.0725028514862,79.71000075340271
92.59750247001648,80.27999997138977
93.97749900817871,80.239999294281
92.46500134468079,80.62999844551086
93.29249858856201,80.82000017166138
94.39499974250793,80.0100028514862
94.4100022315979,80.09999990463257
95.39750218391418,79.11999821662903
94.14499998092651,79.53000068664551
95.03750205039978,79.89000082015991
95.26500105857849,79.72000241279602
94.69749927520752,79.46000099182129
95.36749720573425,79.14000153541565
94.9774980545044,79.37999963760376
95.36250233650208,80.12999892234802
94.77750062942505,79.64000105857849
92.60749816894531,80.26000261306763
95.1799988746643,79.64000105857849
96.27249836921692,79.26999926567078
96.30249738693237,78.4500002861023
96.15499973297119,77.97999978065491
93.15249919891357,80.64000010490417
92.39749908447266,80.44000267982483
92.8600013256073,81.38999938964844
94.15000081062317,79.61999773979187
94.55249905586243,80.04000186920166
93.36749911308289,80.50000071525574
94.37249898910522,79.72999811172485
92.58999824523926,81.01999759674072
94.44500207901001,80.27999997138977
94.35750246047974,79.53000068664551
93.91250014305115,80.21000027656555
94.41499710083008,79.73999977111816
94.05249953269958,79.58999872207642
95.15500068664551,79.36000227928162
95.75750231742859,79.6500027179718
94.63250041007996,79.40999865531921
94.9750006198883,79.25999760627747
94.78750228881836,80.08999824523926
95.37500143051147,79.32999730110168
96.27500176429749,78.96999716758728
95.49000263214111,79.72999811172485
95.75999975204468,78.92000079154968
96.39750123023987,77.89999842643738
96.48249745368958,79.26999926567078
95.71250081062317,78.53999733924866
93.89500021934509,79.6999990940094
95.13999819755554,79.67000007629395
94.1224992275238,80.16999959945679
93.82500052452087,79.8200011253357
95.31750082969666,79.36999797821045
94.20999884605408,80.30999898910522
94.58500146865845,79.50000166893005
94.83749866485596,78.79999876022339
94.0999984741211,79.85000014305115
94.34499740600586,79.12999987602234
94.50500011444092,80.0100028514862
95.54250240325928,79.00000214576721
94.68250274658203,79.50000166893005
94.760000705719,79.26999926567078
95.03499865531921,79.22999858856201
95.07499933242798,79.4700026512146
95.99999785423279,79.65999841690063
95.660001039505,78.72999906539917
95.64250111579895,78.18999886512756
95.71750164031982,78.96999716758728
96.07999920845032,79.01999950408936
96.05749845504761,78.88000011444092
95.02000212669373,79.25000190734863
95.40249705314636,78.89999747276306
96.78000211715698,78.09000015258789
90.57750105857849,81.80000185966492
93.27250123023987,80.98999857902527
92.16499924659729,81.04000091552734
93.69750022888184,80.72999715805054
92.42500066757202,81.58000111579895
92.5724983215332,79.93000149726868
92.26499795913696,80.83999752998352
93.66000294685364,80.83000183105469
93.63250136375427,79.91999983787537
93.51999759674072,80.33000230789185
93.15500259399414,80.7699978351593
93.2099997997284,80.59999942779541
94.60499882698059,79.72999811172485
94.9899971485138,79.8200011253357
95.00499963760376,79.08999919891357
93.58500242233276,79.94999885559082
93.94749999046326,80.48999905586243
93.05499792098999,80.22000193595886
94.42750215530396,79.28000092506409
95.39250135421753,79.50999736785889
94.37000155448914,79.29999828338623
94.95750069618225,79.90000247955322
94.46250200271606,79.93000149726868
96.01500034332275,79.01999950408936
95.02750039100647,79.43000197410583
93.01999807357788,81.49999976158142
93.12999844551086,81.01999759674072
91.36499762535095,80.9000015258789
91.87750220298767,80.7200014591217
93.62750053405762,80.29000163078308
93.51249933242798,80.65999746322632
92.4875020980835,80.83000183105469
91.48250222206116,81.30000233650208
94.08249855041504,79.86000180244446
94.96750235557556,79.46000099182129
93.0774986743927,80.34999966621399
94.48000192642212,80.33999800682068
94.15249824523926,79.96000051498413
92.24500060081482,80.16999959945679
95.14250159263611,79.12999987602234
94.48249936103821,80.08000254631042
94.4350004196167,79.5799970626831
95.03750205039978,79.67000007629395
95.38499712944031,78.28999757766724
95.87000012397766,79.14000153541565
94.01749968528748,79.93000149726868
94.04249787330627,80.0000011920929
95.47500014305115,79.04000282287598
95.28499841690063,78.70000004768372
95.79499959945679,79.04000282287598
92.42500066757202,80.97000122070312
92.2249972820282,81.23999834060669
92.74749755859375,79.72999811172485
91.97750091552734,80.3600013256073
89.05749917030334,80.80999851226807
92.78500080108643,80.36999702453613
94.12999749183655,79.8799991607666
93.8825011253357,80.46000003814697
93.69249939918518,80.80000281333923
95.23249864578247,78.90999913215637
93.56499910354614,79.89000082015991
95.169997215271,79.2900025844574
94.34999823570251,79.47999835014343
95.38249969482422,78.97999882698059
95.36749720573425,79.04000282287598
94.08249855041504,79.68999743461609
94.81250047683716,79.71000075340271
95.67000269889832,79.07000184059143
94.60999965667725,78.89999747276306
95.3125,79.91999983787537
94.75250244140625,79.50999736785889
95.92000246047974,79.4700026512146
96.3100016117096,79.30999994277954
96.12749814987183,78.53000164031982
95.02500295639038,78.68000268936157
93.86000037193298,80.09999990463257
92.944997549057,80.84999918937683
95.06000280380249,79.50000166893005
94.29500102996826,79.96000051498413
94.54749822616577,79.50000166893005
93.6299979686737,79.83999848365784
92.86999702453613,79.90000247955322
94.12500262260437,80.22000193595886
95.23749947547913,79.11999821662903
95.18250226974487,79.22999858856201
93.44499707221985,80.54999709129333
94.03499960899353,79.61999773979187
95.01500129699707,79.47999835014343
95.37249803543091,78.60000133514404
95.1324999332428,79.339998960495
94.49999928474426,79.30999994277954
94.62000131607056,79.24000024795532
96.23000025749207,78.47999930381775
96.17999792098999,78.67000102996826
95.6725001335144,78.54999899864197
95.71250081062317,78.93999814987183
95.71999907493591,79.1700005531311
95.6974983215332,78.09000015258789
96.46999835968018,78.90999913215637
96.8375027179718,78.6899983882904
92.65249967575073,80.22000193595886
93.12999844551086,80.14000058174133
94.6025013923645,80.07000088691711
94.41999793052673,79.79000210762024
94.92499828338623,79.55999970436096
94.57749724388123,79.6500027179718
94.5900022983551,79.3500006198883
94.77999806404114,80.07000088691711
95.17750144004822,80.1800012588501
94.89250183105469,79.61000204086304
95.19000053405762,79.3500006198883
94.7724997997284,79.94999885559082
94.24999952316284,79.86999750137329
95.40500044822693,79.8200011253357
94.87749934196472,79.65999841690063
96.25499844551086,78.53999733924866
95.93999981880188,79.65999841690063
95.92499732971191,78.88000011444092
95.72749733924866,78.85000109672546
96.36499881744385,78.92000079154968
96.2024986743927,78.83999943733215
96.01250290870667,78.64999771118164
95.12749910354614,79.2900025844574
96.03999853134155,78.82000207901001
96.09749913215637,78.35000157356262
90.86999893188477,80.84999918937683
91.21000170707703,81.38999938964844
92.28249788284302,80.9499979019165
92.97249913215637,80.40000200271606
93.69750022888184,79.91999983787537
91.60500168800354,81.05000257492065
93.88499855995178,80.43000102043152
93.9050018787384,79.76999878883362
92.66999959945679,80.47999739646912
93.84250044822693,79.50999736785889
92.55750179290771,81.33000135421753
93.33000183105469,80.5400013923645
92.55750179290771,81.37999773025513
94.09000277519226,79.75999712944031
94.81499791145325,79.4700026512146
94.28250193595886,79.96000051498413
94.63750123977661,79.93999719619751
94.02250051498413,79.6999990940094
94.37749981880188,79.28000092506409
95.06999850273132,78.57999801635742
95.41500210762024,79.54999804496765
95.21999955177307,79.58999872207642
94.3149983882904,80.0000011920929
95.44249773025513,79.32999730110168
95.24750113487244,79.24000024795532
91.01499915122986,80.76000213623047
92.37750172615051,80.62000274658203
92.76000261306763,80.30999898910522
93.59999895095825,80.47000169754028
94.1474974155426,79.86000180244446
93.05499792098999,81.19000196456909
94.2674994468689,80.44999837875366
93.9175009727478,80.44999837875366
95.43750286102295,79.04999852180481
94.7475016117096,79.61999773979187
93.23750138282776,80.68000078201294
93.72000098228455,79.94999885559082
94.23249959945679,79.91999983787537
95.23000121116638,79.18000221252441
95.06000280380249,79.5199990272522
93.58500242233276,80.83999752998352
94.14250254631042,79.83999848365784
94.88499760627747,78.9900004863739
95.95249891281128,78.82000207901001
95.49999833106995,78.85000109672546
93.86749863624573,80.01999855041504
94.39749717712402,79.32999730110168
95.1324999332428,79.5799970626831
95.18749713897705,79.43000197410583
95.38000226020813,79.06000018119812
92.47249960899353,80.14000058174133
91.98750257492065,81.20999932289124
93.11249852180481,80.44999837875366
93.10500025749207,79.8200011253357
94.64250206947327,78.75999808311462
93.98000240325928,80.83000183105469
94.97249722480774,79.1599988937378
94.28250193595886,79.80999946594238
94.44500207901001,79.78000044822693
94.86749768257141,79.6999990940094
94.41249966621399,80.11999726295471
93.87999773025513,79.85000014305115
94.12999749183655,79.28000092506409
95.49750089645386,79.44999933242798
95.14750242233276,78.27000021934509
94.70250010490417,79.08999919891357
94.34249997138977,79.79999780654907
94.69500184059143,79.55999970436096
95.49000263214111,78.9900004863739
95.13000249862671,79.5199990272522
95.37749886512756,79.830002784729
95.1924979686737,79.1100025177002
94.65000033378601,79.39000129699707
95.63999772071838,79.00999784469604
95.99999785423279,78.82000207901001
92.35749840736389,80.69999814033508
94.04749870300293,79.97000217437744
94.4350004196167,79.54999804496765
94.40749883651733,79.60000038146973
95.37500143051147,78.70000004768372
94.44500207901001,80.26000261306763
94.58249807357788,80.0499975681305
95.24250030517578,79.10000085830688
95.42499780654907,79.10000085830688
94.95999813079834,79.30999994277954
94.1124975681305,80.4099977016449
95.18499970436096,78.930002450943
95.37500143051147,79.53000068664551
95.80249786376953,79.25999760627747
95.05500197410583,79.40999865531921
94.98249888420105,79.64000105857849
94.85999941825867,78.64999771118164
95.36749720573425,79.10000085830688
95.86250185966492,78.43000292778015
96.23000025749207,78.64000201225281
95.31750082969666,79.04999852180481
95.11749744415283,79.18000221252441
96.24750018119812,78.8100004196167
96.56500220298767,78.75000238418579
96.02000117301941,78.49000096321106
93.46749782562256,79.97999787330627
93.56499910354614,80.21000027656555
93.92499923706055,80.0599992275238
94.46499943733215,79.78000044822693
94.41249966621399,79.37999963760376
94.30000185966492,79.97000217437744
94.55999732017517,79.50000166893005
95.63000202178955,78.53999733924866
94.2900002002716,79.61999773979187
94.61749792098999,79.22000288963318
90.65250158309937,80.26000261306763
95.0950026512146,78.86999845504761
96.20500206947327,79.04999852180481
94.94500160217285,80.40000200271606
96.35249972343445,78.43000292778015
94.29500102996826,79.67000007629395
95.82750201225281,79.01999950408936
96.08749747276306,79.07000184059143
96.09249830245972,78.89999747276306
96.48500084877014,78.58999967575073
94.89499926567078,79.19999957084656
96.78000211715698,78.70000004768372
96.03000283241272,79.04000282287598
95.92249989509583,79.3500006198883
97.10249900817871,77.57999897003174
93.23999881744385,81.31999969482422
93.89500021934509,80.7699978351593
94.13750171661377,80.16999959945679
93.77250075340271,80.37999868392944
94.05500292778015,79.78000044822693
93.69249939918518,80.65999746322632
93.5575008392334,80.58000206947327
93.33000183105469,80.01999855041504
94.2775011062622,80.48999905586243
93.90000104904175,80.27999997138977
94.01000142097473,80.26999831199646
94.30750012397766,79.83999848365784
93.93249750137329,79.62999939918518
94.94749903678894,79.58999872207642
94.67999935150146,79.97999787330627
92.00500249862671,80.94000220298767
94.02499794960022,80.19000291824341
94.68250274658203,80.1800012588501
93.64749789237976,80.59999942779541
94.95999813079834,78.53999733924866
94.36500072479248,79.25000190734863
92.85500049591064,79.49000000953674
95.56000232696533,79.36000227928162
93.97249817848206,79.90999817848206
94.7700023651123,79.97999787330627
94.09000277519226,80.50000071525574
93.87750029563904,80.0599992275238
92.90500283241272,80.33000230789185
93.21500062942505,79.96000051498413
94.46250200271606,80.43000102043152
93.94749999046326,80.50000071525574
94.03749704360962,79.97000217437744
94.85999941825867,79.90000247955322
93.79000067710876,79.79000210762024
94.93749737739563,79.8200011253357
94.04749870300293,79.5799970626831
94.91249918937683,79.32000160217285
95.4800009727478,79.53000068664551
94.9500024318695,79.14000153541565
94.6399986743927,79.61999773979187
95.05500197410583,79.30999994277954
93.93249750137329,79.61000204086304
94.35750246047974,78.96000146865845
95.1799988746643,79.10000085830688
96.13500237464905,78.96999716758728
91.97750091552734,80.64000010490417
95.38249969482422,79.28000092506409
95.10999917984009,79.2900025844574
95.93750238418579,79.43000197410583
96.36499881744385,78.4500002861023
95.19000053405762,79.04999852180481
94.75250244140625,79.54999804496765
93.94749999046326,79.90000247955322
94.74250078201294,79.75999712944031
93.92499923706055,79.18000221252441
94.76249814033508,79.30999994277954
94.302499294281,79.37999963760376
93.61000061035156,80.15000224113464
95.36749720573425,80.0599992275238
95.49000263214111,78.21999788284302
94.06499862670898,79.97000217437744
